epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_weighted_f1
1,0.6857406182774568,0.35986630876245,0.9435859700760363,0.5505739447783624,0.9340867232634648
2,0.36390002957360756,0.2757315706879244,0.9725288202109394,0.8199892748985824,0.9688584497552063
3,0.3193802714543937,0.27000776512938035,0.9725288202109394,0.8101204227041161,0.971045032302878
4,0.30131870756025236,0.25902932921782235,0.9773117488349277,0.8827858143971822,0.9769454580935556
5,0.29179832307936987,0.2622731528666372,0.9775570272259014,0.8869098372465636,0.9773203839892289
6,0.2838196354097124,0.2461022747214998,0.9834437086092715,0.9128062148463031,0.9829811536105559
7,0.27613662617441015,0.24412395026071532,0.9845474613686535,0.9183928631048084,0.9841539145579395
8,0.2703453857610604,0.24317100625105983,0.984915378955114,0.9248736467377542,0.9846159971589337
9,0.2638299238635091,0.24214637066793407,0.9852832965415746,0.9270857020126579,0.9850094601476664
10,0.25824052833585276,0.24059423693173185,0.9854059357370616,0.9305688760060465,0.9851983928973479
11,0.25452932649426524,0.23953750341406985,0.986019131714496,0.9346213912344908,0.9858843448474325
12,0.2505350887700594,0.2381258362103304,0.9865096884964435,0.936102885204082,0.9864122708964429
13,0.24628680507157963,0.23742206259074386,0.9868776060829041,0.9400516127508332,0.9867975859140101
14,0.243899872960207,0.23620811112084342,0.9876134412558254,0.9445040168279115,0.9875574738617433
15,0.24071315683633956,0.2354240529686907,0.9873681628648516,0.9418291069448288,0.9873112445892618
16,0.23703577427555117,0.23481160668377085,0.9871228844738779,0.9410981279988024,0.9870796330188979
17,0.23594762180924186,0.23447720114729234,0.9868776060829041,0.9418239621197058,0.9868939408712025
18,0.2342483396915354,0.2341173346761339,0.9873681628648516,0.9437008239762746,0.987387735559492
19,0.23225877241191326,0.23382211727110053,0.9878587196467992,0.9463886663238941,0.9878598634352487
20,0.23177528744870066,0.2334962431007897,0.9878587196467992,0.940035106965921,0.9878600917635819
