class,precision,recall,f1,support
Center,0.936923076923077,0.9456521739130435,0.9412673879443586,644
Donut,0.8375,0.8072289156626506,0.8220858895705522,83
Edge-Loc,0.8719346049046321,0.8215661103979461,0.8460013218770654,779
Edge-Ring,0.9516556291390729,0.9896694214876033,0.9702903443619176,1452
Loc,0.7901960784313725,0.7476808905380334,0.7683508102955195,539
Near-full,0.9565217391304348,1.0,0.9777777777777777,22
Random,0.8692307692307693,0.8692307692307693,0.8692307692307693,130
Scratch,0.5968586387434555,0.6368715083798883,0.6162162162162163,179
