epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_weighted_f1
1,0.19922586938350662,0.06580960606582567,0.9799560575106965,0.9601871405900755,0.9799625458593386
2,0.1587479311035195,0.08496463235156214,0.9726708553366997,0.9484130658284226,0.9733485462521363
3,0.1504467411808286,0.08119064219790233,0.9726708553366997,0.9484542058763217,0.9733585961969792
4,0.1475748959346559,0.07273695118892158,0.9745596114558841,0.9517128860145054,0.9751254984071358
5,0.143348635693445,0.09661746102511981,0.9650772848167135,0.9359979934870564,0.9664076120920454
6,0.14036541634887853,0.0950041378537048,0.9635354430867672,0.9335262404264222,0.9650091323459752
7,0.1355907203809194,0.05838673088536024,0.9810738927649076,0.9634300209805757,0.9813353197219785
8,0.13433855180915077,0.068301516965687,0.9761014531858305,0.954730454276843,0.9766553607031351
9,0.13197376973558259,0.061268464624835796,0.9806113402459238,0.9627517433344521,0.9809324630360822
10,0.12939541286937875,0.05689871001409817,0.9811895308946537,0.9637396990450218,0.9814707139382938
11,0.12739194665607076,0.07874617218949426,0.9717842963419805,0.9474448878406629,0.9726555796143018
12,0.12807038512755659,0.06089276598853824,0.979108044559226,0.9601209095638101,0.9795174649328493
13,0.12492783663530135,0.05406974534584637,0.9822302740623675,0.9656359882172959,0.9824686765492698
14,0.12423073225816826,0.05179562700740545,0.9837721157923139,0.9684474559965272,0.9839475695853299
15,0.12286977743563661,0.05518428392075621,0.9819989978028756,0.9652534972775215,0.9822565493656475
16,0.12107022120925351,0.05918707738804619,0.9805342481594265,0.9627865799253246,0.9809017623877616
17,0.12095988143193842,0.05987190811888767,0.9795320510349612,0.9609500864825229,0.9799380383025073
18,0.11990186398869693,0.060195002225107215,0.9798404193809506,0.9615695950621017,0.9802479584520161
19,0.11941621056482464,0.054811377013102534,0.9814208071541456,0.9642591727501262,0.9817167467806265
20,0.11853694928473855,0.055908531173836803,0.9805727942026751,0.9627730685953683,0.9809180924083356
