class,precision,recall,f1,support
Center,0.9112426035502958,0.9565217391304348,0.9333333333333333,644
Donut,0.8292682926829268,0.8192771084337349,0.8242424242424242,83
Edge-Loc,0.8283313325330132,0.8857509627727856,0.8560794044665012,779
Edge-Ring,0.9794379712131597,0.9841597796143251,0.9817931982136723,1452
Loc,0.7442244224422442,0.8367346938775511,0.7877729257641921,539
Near-full,1.0,1.0,1.0,22
Random,0.8992248062015504,0.8923076923076924,0.8957528957528957,130
Scratch,0.748792270531401,0.8659217877094972,0.8031088082901554,179
Normal,0.9947102011035615,0.9863441103323536,0.9905094905094906,22115
