class,precision,recall,f1,support
Center,0.5587949465500486,0.6911057692307693,0.6179473401397099,832
Donut,0.46558704453441296,0.7876712328767124,0.5852417302798982,146
Edge-Loc,0.6374045801526718,0.7831890331890332,0.7028164454516025,2772
Edge-Ring,0.8387698042870456,0.7992895204262878,0.8185538881309686,1126
Loc,0.6128707893413776,0.617840851495185,0.6153457849570924,1973
Near-full,0.967032967032967,0.9263157894736842,0.946236559139785,95
Random,0.8281938325991189,0.7315175097276264,0.7768595041322314,257
Scratch,0.36633663366336633,0.5873015873015873,0.45121951219512196,693
Normal,0.9884575313922246,0.9770372444693364,0.9827142097827124,110701
