class,precision,recall,f1,support
Center,0.9648854961832061,0.9813664596273292,0.9730561970746728,644
Donut,0.8518518518518519,0.8313253012048193,0.8414634146341463,83
Edge-Loc,0.940279542566709,0.9499358151476252,0.9450830140485313,779
Edge-Ring,0.9889958734525447,0.990358126721763,0.9896765313145217,1452
Loc,0.9040307101727447,0.8738404452690167,0.8886792452830189,539
Near-full,1.0,1.0,1.0,22
Random,0.9435483870967742,0.9,0.9212598425196851,130
Scratch,0.8967391304347826,0.9217877094972067,0.9090909090909091,179
