epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_weighted_f1
1,1.4420730335771292,0.759068557897207,0.7539184952978056,0.5475699889205241,0.7246044635397132
2,0.8769374146898202,0.520209263733811,0.8649425287356322,0.7414621609153914,0.8518008006681276
3,0.6474609263885704,0.43779707035923704,0.8892371995820272,0.7939506756543804,0.8851838778549479
4,0.5585421812979456,0.4121349329360476,0.9080459770114943,0.853865411297579,0.9056362717596226
5,0.5149755246133532,0.4196777712464208,0.9049111807732497,0.8625395343977003,0.9030457457039978
6,0.4843658589004756,0.3758984429833782,0.9234587251828631,0.8748835670905293,0.920913403349758
7,0.4675950203371403,0.36663979550389536,0.9276384535005224,0.8813652409830182,0.9258640129013582
8,0.454961362220349,0.3584979785647138,0.9328631138975967,0.8910312829196211,0.9316122920567236
9,0.43609683653485204,0.35181182246098575,0.9365203761755486,0.8909870386646307,0.9352380260808928
10,0.4224571493493745,0.34739285844495926,0.9367816091954023,0.8927467836615386,0.9355823495375174
11,0.412042676424824,0.3412394252690402,0.9383490073145245,0.9000750218135585,0.9374538208199444
12,0.39681980570086184,0.33735333344156593,0.9375653082549634,0.9007927660610078,0.9368461856122422
13,0.39665552112027525,0.33277590113498323,0.9427899686520376,0.9087010551665722,0.9421072632355532
14,0.385698506017685,0.32692320506276257,0.9427899686520376,0.9111341630655327,0.942246293983189
15,0.38398195631071746,0.32324203686903513,0.9456635318704284,0.9182452813317702,0.9451448396812363
16,0.3731387704786005,0.32115732433903055,0.9474921630094044,0.9220796563146654,0.9470470013452822
17,0.3719970810565517,0.3193218843192018,0.9477533960292581,0.9180317737772856,0.9474075853116137
18,0.36812166405579666,0.3161876955874412,0.9490595611285266,0.9210568297882491,0.9486641145989495
19,0.35802736502007915,0.31437977313870796,0.949582027168234,0.9194633127431566,0.949180317882976
20,0.3549610154896896,0.3124212046526567,0.9485370950888192,0.9216456075375228,0.9481610128479213
21,0.35049309755989305,0.30942275126775104,0.950626959247649,0.92367360550209,0.9502901702807454
22,0.34832003427861163,0.30812244850640014,0.9516718913270638,0.9262086140120995,0.9513729242871894
23,0.3444779087926842,0.30720835214124576,0.9535005224660397,0.9317820562115258,0.9532220306962872
24,0.3404635600968824,0.30626095487281696,0.9537617554858934,0.9324856111336981,0.9534993795252656
25,0.3361455386659169,0.3050047791365421,0.9540229885057471,0.9296235086263921,0.9537691300503964
26,0.3372344157099557,0.30404892940630857,0.9542842215256009,0.929704219079042,0.9540361833852083
27,0.3359108386251685,0.3030755868962068,0.955067920585162,0.9324125490628512,0.9548480369055543
28,0.3314474705288246,0.3024356568245803,0.9548066875653083,0.9310621664997714,0.9545434712493136
29,0.32440435190834255,0.30170589398939157,0.9553291536050157,0.9313960412460857,0.9551006511532784
30,0.32047299270512963,0.30118772720717585,0.955067920585162,0.9354440563584181,0.9548482864625578
31,0.3181060836789376,0.30035994500077506,0.9553291536050157,0.9323968593754124,0.9550942298161563
32,0.3177470399455435,0.3002206135381601,0.9558516196447231,0.9354708723434741,0.9556338118513231
33,0.31443317118980635,0.29971937391451536,0.9561128526645768,0.9359684472338277,0.9558940762443237
34,0.3131333735120234,0.2992784772048799,0.9563740856844305,0.9362568926546858,0.9561577177233446
35,0.3123343518634783,0.29861766162212616,0.9566353187042842,0.9358576496279858,0.9564319431779045
36,0.30959819823091406,0.2980910015205854,0.9566353187042842,0.9357719782651335,0.9564643310916493
37,0.30691958614261383,0.2977478512277673,0.9566353187042842,0.9349105500944036,0.9564665637810484
38,0.3056124950175335,0.29752741163925445,0.9563740856844305,0.9344368954842268,0.956211175703956
39,0.3064753405258876,0.2974748144951983,0.9568965517241379,0.935135383126158,0.9567171564201131
40,0.30183022639749163,0.2973294086839961,0.9568965517241379,0.9353965090574667,0.9567211941014208
41,0.29839959776342123,0.29706539314866937,0.9568965517241379,0.9362393070647744,0.9567305267051328
42,0.2980646928350542,0.2967905289451655,0.9568965517241379,0.9370995751186697,0.9567403364589657
43,0.29689641878211553,0.2967700892543593,0.9568965517241379,0.9363020768436601,0.9567307228182439
44,0.2979016380945245,0.29683261947821177,0.9566353187042842,0.9348843399302925,0.9564610955064378
45,0.2961440664042299,0.29690359397368,0.9558516196447231,0.9339733267215207,0.9556956776828822
46,0.2941048963268921,0.2969557923209331,0.9563740856844305,0.9350963975512934,0.9562185859286824
47,0.29415497480605046,0.296973267443626,0.9558516196447231,0.9347053819516034,0.9557037878741147
48,0.29088774404880524,0.2969513632037921,0.9566353187042842,0.9356758598264288,0.9564738406096757
49,0.29362825468980885,0.29681989061670494,0.9566353187042842,0.936031682630716,0.9564816515034444
50,0.29337607785014136,0.2966700863003606,0.9568965517241379,0.935864211778551,0.9567280625948441
