class,precision,recall,f1,support
Center,0.9662576687116564,0.9782608695652174,0.9722222222222222,644
Donut,0.8571428571428571,0.8674698795180723,0.8622754491017964,83
Edge-Loc,0.9400510204081632,0.9460847240051348,0.9430582213691618,779
Edge-Ring,0.990358126721763,0.990358126721763,0.990358126721763,1452
Loc,0.9049429657794676,0.8831168831168831,0.8938967136150234,539
Near-full,1.0,1.0,1.0,22
Random,0.9508196721311475,0.8923076923076924,0.9206349206349206,130
Scratch,0.8924731182795699,0.9273743016759777,0.9095890410958904,179
