epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_weighted_f1
1,1.2557023203497886,0.6685018966850823,0.791981845688351,0.44531603117320856,0.778209621279163
2,0.7195703832116944,0.42752729511838095,0.9039334341906202,0.7236389928337446,0.8936156939223882
3,0.528905607950432,0.37164280039459785,0.9330559757942511,0.8511853583119461,0.9336185168193147
4,0.44178847616564393,0.33536858435117173,0.9406202723146747,0.8501663633635488,0.9395064934871554
5,0.3922917583892537,0.31713135430022915,0.9542360060514372,0.8853918289947185,0.9535554036291062
6,0.3800275347906569,0.2969140785544795,0.9625567322239031,0.91851058566611,0.9622230271933517
7,0.35589183504420235,0.28987561019754626,0.9644478063540091,0.9232543976270648,0.9641031505669916
8,0.35853389636608146,0.287347340051778,0.9640695915279879,0.9222218964507932,0.9636497843689729
9,0.3318281874431643,0.28393999666381353,0.9655824508320726,0.9291153809855455,0.9652820483524441
10,0.3348871300334041,0.27928203389431816,0.9693645990922845,0.9359517362246743,0.96910471332429
11,0.3114627118613881,0.277317095001238,0.9701210287443268,0.938034937597067,0.9699311427858105
12,0.3051068992323825,0.27541918437167123,0.970499243570348,0.9405865400446048,0.9703302273090098
13,0.3196033725997299,0.2759139079730197,0.9708774583963692,0.9398702614592817,0.9708033125945303
14,0.3010234227088812,0.2736811518849475,0.972768532526475,0.944893949062393,0.972643214133165
15,0.29303032449851263,0.27120944871123365,0.972768532526475,0.9442594798572597,0.9727180676168934
16,0.2856927547129139,0.27046345063850125,0.9731467473524962,0.9441594315000752,0.973127472570124
17,0.2840184564445153,0.2689287802274938,0.9735249621785174,0.9469903098152421,0.9734711455017405
18,0.2828598785532483,0.2665927629247195,0.9742813918305597,0.9477750577742639,0.9742213869588875
19,0.2935967634360961,0.26739223398347123,0.9750378214826021,0.9493839237179725,0.9749576586199191
20,0.28071161989722165,0.26474767188441556,0.9750378214826021,0.9492509415457828,0.9749914499545109
21,0.2769245180393935,0.2630026312079985,0.9754160363086233,0.9502749531301622,0.9754267491291094
22,0.27557530263724167,0.2626851617207866,0.9754160363086233,0.9522478534675114,0.9753870041912753
23,0.27113341898229365,0.2627583112731103,0.9746596066565809,0.9500758556504323,0.9746642290491311
24,0.2739029318147966,0.2620760160928054,0.9761724659606656,0.9538186398060626,0.9761918081899387
25,0.26328489130866295,0.2609439705034969,0.9757942511346445,0.954372139613588,0.9757689541783868
26,0.2608002500392098,0.2603641170416585,0.9757942511346445,0.9546838446670538,0.9757720273811213
27,0.2676376142709359,0.25969410713609875,0.9765506807866868,0.9562635845987625,0.976530371012904
28,0.26122669128325726,0.2601598814107286,0.9765506807866868,0.9572187217066923,0.9765493515699857
29,0.26016084548349766,0.25983738881196267,0.9765506807866868,0.9569125961966168,0.9765722616586262
30,0.25589631035437566,0.2598282310677729,0.9754160363086233,0.9560150883522669,0.9754175224065537
31,0.2537077630953161,0.2593670782271023,0.9750378214826021,0.9546794313350315,0.9750561257957391
32,0.25281705635944013,0.25863883580093844,0.9765506807866868,0.9566658622098316,0.9765627691567393
33,0.2517897624627634,0.25797144074483286,0.9761724659606656,0.9563503244469458,0.9761552555969699
34,0.2533243172724633,0.2571440117261774,0.9750378214826021,0.9545910787163081,0.9750323232570756
35,0.2442626740335105,0.2565558012152223,0.9765506807866868,0.9565774378132216,0.9765400409024856
36,0.2452908430802282,0.25610393069335086,0.976928895612708,0.9578753280778931,0.9769086695825451
37,0.2510353151258007,0.25575605530782114,0.976928895612708,0.9580921711715424,0.9769098315812127
38,0.24702095412880165,0.2552202901212603,0.976928895612708,0.9572939595315979,0.9769312851217932
39,0.24111204871140815,0.2549603087728936,0.9780635400907716,0.9589999871733912,0.9780750359336412
40,0.23872672886155683,0.2546517380968345,0.9791981845688351,0.9610854196681067,0.9792206700994058
41,0.2397847465564536,0.2542176774608566,0.9791981845688351,0.9610854196681067,0.9792206700994058
42,0.2419408138814783,0.25357224306432635,0.9795763993948563,0.9615267634965021,0.9796053731189994
43,0.2351802281289845,0.253130128181648,0.9799546142208775,0.9618854572497679,0.9799709240336902
44,0.2368819367268098,0.2529044172947778,0.9795763993948563,0.9614440338266834,0.9795861624921316
45,0.23606181389403338,0.2527661194599342,0.9799546142208775,0.9624705178351728,0.9799785497112425
46,0.23705466559426455,0.25275268533045875,0.9788199697428139,0.9611421325771221,0.9788222265120641
47,0.23451238633093374,0.2527132105087909,0.9791981845688351,0.9615856223984981,0.9792080145625395
48,0.23792158158039842,0.2525212291329423,0.9791981845688351,0.9615856223984981,0.9792080145625395
49,0.23489570324049003,0.2522032708155045,0.9784417549167927,0.9593125772464419,0.9784460933414721
50,0.23532622784533302,0.25205366509584726,0.9791981845688351,0.9608287708882455,0.9792190110991406
