class,precision,recall,f1,support
Center,0.8537414965986394,0.9050480769230769,0.8786464410735122,832
Donut,0.5625,0.8013698630136986,0.6610169491525424,146
Edge-Loc,0.8881392045454546,0.9022366522366523,0.8951324266284896,2772
Edge-Ring,0.9167412712623098,0.9094138543516874,0.913062862238074,1126
Loc,0.8365853658536585,0.6953877344145971,0.7594796567949073,1973
Near-full,0.967032967032967,0.9263157894736842,0.946236559139785,95
Random,0.8711111111111111,0.7626459143968871,0.8132780082987552,257
Scratch,0.5836065573770491,0.7705627705627706,0.664179104477612,693
