class,precision,recall,f1,support
Center,0.9554848966613673,0.9332298136645962,0.9442262372348782,644
Donut,0.7764705882352941,0.7951807228915663,0.7857142857142857,83
Edge-Loc,0.9146005509641874,0.8523748395378691,0.8823920265780731,779
Edge-Ring,0.9896551724137931,0.9882920110192838,0.988973121984838,1452
Loc,0.8586497890295358,0.7551020408163265,0.8035538005923001,539
Near-full,0.9565217391304348,1.0,0.9777777777777777,22
Random,0.9112903225806451,0.8692307692307693,0.889763779527559,130
Scratch,0.8757396449704142,0.8268156424581006,0.8505747126436781,179
Normal,0.989264699276827,0.9958851458286231,0.9925638830050926,22115
