class,precision,recall,f1,support
Center,0.966412213740458,0.9829192546583851,0.9745958429561201,644
Donut,0.8690476190476191,0.8795180722891566,0.874251497005988,83
Edge-Loc,0.9375796178343949,0.944801026957638,0.9411764705882353,779
Edge-Ring,0.9889883000688231,0.9896694214876033,0.9893287435456111,1452
Loc,0.9117082533589251,0.8812615955473099,0.8962264150943396,539
Near-full,1.0,1.0,1.0,22
Random,0.9512195121951219,0.9,0.924901185770751,130
Scratch,0.9081081081081082,0.9385474860335196,0.9230769230769231,179
