epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_weighted_f1
1,1.422075176742198,0.7634454051902675,0.7586206896551724,0.5600227368172268,0.7287317174626203
2,0.8021931463464312,0.5060797326243409,0.8589341692789969,0.7419189297596424,0.8441507079847198
3,0.6144232245520101,0.44286591649180046,0.8832288401253918,0.7901323689369848,0.8741661086205036
4,0.5344455941643165,0.42185023212133904,0.9036050156739812,0.8500642961114553,0.9021089478599837
5,0.4996286708977751,0.39819166372562276,0.9156217345872518,0.8640530993884783,0.913118148702826
6,0.47508521333244236,0.3740353469066361,0.9273772204806687,0.8810523181539502,0.9254246958449813
7,0.45850083892438726,0.36738851965407965,0.930773249738767,0.8865367529452178,0.9294225568092236
8,0.45397829763040304,0.3609182611029973,0.9318181818181818,0.8884244383192327,0.9305342257857668
9,0.4359337923468437,0.3547595252935914,0.9328631138975967,0.8961549359126033,0.9319797911689528
10,0.4197210123439135,0.3484831613370742,0.937042842215256,0.900262893529334,0.936212687300072
11,0.4082228455085447,0.34401497272862164,0.9401776384535006,0.9089620955196509,0.9394722102676292
12,0.40182578137084696,0.34162640655676024,0.9391327063740856,0.9108556251191907,0.9384520171955698
13,0.3953328985339856,0.3369022297012146,0.9412225705329154,0.913170032456305,0.9405569829816143
14,0.3843167754758654,0.3333292146648359,0.9420062695924765,0.914467378887403,0.9413742825272198
15,0.3838597116872484,0.33040623623749305,0.9433124346917451,0.9181241559642278,0.9426773593668003
16,0.3707117378621608,0.32543190989873005,0.9464472309299895,0.9228413118904951,0.9460033004505206
17,0.3678118390655395,0.32299180084385964,0.9456635318704284,0.9230287545778243,0.9451889157448706
18,0.358033630107903,0.31990984297097663,0.9474921630094044,0.9235612244724325,0.94705112554929
19,0.3586559222228769,0.31835739446907085,0.9493207941483803,0.9269832206414168,0.9488912815773718
20,0.353363472835912,0.317098143830693,0.9485370950888192,0.9259245456254157,0.9481066670755762
21,0.3511871422804637,0.3154966967295205,0.9482758620689655,0.923339263255392,0.9478334504454182
22,0.3480502822588267,0.3140375393062301,0.9493207941483803,0.925998609931308,0.9489015791483542
23,0.34085523423839975,0.3119874212622269,0.9511494252873564,0.926902539465469,0.9508066007074345
24,0.33802484307812064,0.310646902493424,0.9511494252873564,0.9294087919385744,0.9508046050564084
25,0.3354171761581921,0.30935781745701374,0.9511494252873564,0.9295301179921371,0.9508148552840727
26,0.3334633431048634,0.3086061773504459,0.9503657262277951,0.9266442486936015,0.9500223645595487
27,0.3318166147586126,0.306955864063251,0.9537617554858934,0.9363294340831514,0.9534850197333739
28,0.3299112962323728,0.3062497896211399,0.9540229885057471,0.9363823082518006,0.9537716515919852
29,0.3202388134417379,0.3062695366337257,0.9542842215256009,0.9373167999896838,0.9540272465628872
30,0.3225267959596702,0.306071315190386,0.9542842215256009,0.9361550048346585,0.9540224643688664
31,0.3215877267248999,0.3059716509925659,0.9535005224660397,0.9338276869731292,0.9532409109401245
32,0.31693852563584524,0.3053714978034718,0.9529780564263323,0.9324652379381483,0.9527152748598999
33,0.3171029542062115,0.3052707103663976,0.9527168234064786,0.9307013444909249,0.9524375237945701
34,0.3164223407648622,0.3046606409138647,0.9535005224660397,0.933893936940779,0.9532433209675073
35,0.30728654996122057,0.3041310259291869,0.9537617554858934,0.9335844708385413,0.9535536057036014
36,0.3127328524986347,0.30382104228905626,0.9545454545454546,0.9362788732812888,0.9543348845249914
37,0.30827928378227903,0.30374052164572035,0.9537617554858934,0.933593126502523,0.9535880834052434
38,0.3085760983195249,0.3035069102403886,0.9540229885057471,0.933683691210542,0.9538611346741789
39,0.3008723254300696,0.30312773351759,0.9555903866248694,0.936297819447026,0.9554393210266343
40,0.3043541597077396,0.30288540862321606,0.9566353187042842,0.9373458360361085,0.9564830512464685
41,0.30192736012934435,0.30236513350575445,0.9563740856844305,0.9371564436690103,0.9562273205875508
42,0.30268614878781547,0.30212521917393964,0.9563740856844305,0.9363087055394465,0.9562355766348728
43,0.29900217568217685,0.3019279429033134,0.9563740856844305,0.9358464135363047,0.9562384424258971
44,0.29538229910849406,0.30174545521771023,0.9574190177638453,0.9374206269143859,0.9572824820930086
45,0.29545130595887675,0.3015460885804275,0.9563740856844305,0.9361495499537467,0.9562607987211955
46,0.2960318834422077,0.3014095677228308,0.9566353187042842,0.9363549359145573,0.9565303869708931
47,0.2946428229688951,0.30141407958267874,0.9568965517241379,0.9368527612694985,0.9567948131235731
48,0.29511725642623327,0.3012376485573461,0.9571577847439916,0.9376095281630437,0.9570414992002938
49,0.29271903460642956,0.3012743795927042,0.9566353187042842,0.9367327405544696,0.9565384352688554
50,0.29540533906153654,0.3012468925090419,0.9568965517241379,0.9369379099806996,0.9568077796060368
