class,precision,recall,f1,support
Center,0.9647779479326187,0.9782608695652174,0.9714726291441789,644
Donut,0.8625,0.8313253012048193,0.8466257668711656,83
Edge-Loc,0.9387755102040817,0.944801026957638,0.9417786308381318,779
Edge-Ring,0.9903314917127072,0.987603305785124,0.9889655172413793,1452
Loc,0.8901303538175046,0.8868274582560297,0.8884758364312267,539
Near-full,1.0,1.0,1.0,22
Random,0.9512195121951219,0.9,0.924901185770751,130
Scratch,0.9005524861878453,0.9106145251396648,0.9055555555555556,179
